"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer"
"ADAM22","MDC2","ENSG00000008277","ADAM metallopeptidase domain 22","Q9P0K1","7","87934143-88202889","Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins","Cell adhesion","Receptor","Disease variant, Epilepsy","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",7,"brain: 77.2","Group enriched","Detected in many",4,"Excitatory neurons: 282.6;Inhibitory neurons: 298.1;Oligodendrocyte precursor cells: 176.2;Oligodendrocytes: 118.6","Cancer enhanced","Detected in many",NA,"glioma: 4.0","Region enhanced","Detected in all",NA,"cerebellum: 77.2","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"Neuroblastoma: 31.7","Testis - Spermatogonia","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA050325, CAB079064","","Supported","Approved","Cell Junctions","Intracellular and membrane",NA,NA,NA,180000,"Cluster 38: Basophils - Unknown function","Cluster 69: Cerebellum - Gene expression regulation","Cluster 21: Neuroblastoma - Neuronal signaling","Cluster 32: Neurons - Synaptic function","Cell Junctions","","CAB079064: , HPA050325: AB_2681087","unprognostic (1.20e-2)","unprognostic (8.61e-2)","unprognostic (3.38e-1)","unprognostic (1.94e-2)","unprognostic (2.89e-2)","unprognostic (3.09e-1)","unprognostic (7.84e-3)","unprognostic (1.38e-1)","unprognostic (1.23e-1)","unprognostic (1.56e-1)","unprognostic (3.71e-3)","unprognostic (1.69e-1)","unprognostic (3.47e-2)","unprognostic (4.13e-2)","unprognostic (2.77e-1)","unprognostic (1.61e-4)","unprognostic (4.70e-2)"
"ADAM28","ADAM23, eMDCII, MDC-Lm, MDC-Ls","ENSG00000042980","ADAM metallopeptidase domain 28","Q9UKQ2","8","24294069-24359014","Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters","","Hydrolase, Metalloprotease, Protease","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",6,"epididymis: 357.5;stomach 1: 110.3","Cell type enhanced","Detected in many",NA,"B-cells: 226.9;Gastric mucus-secreting cells: 133.0;Ionocytes: 77.4;Microglial cells: 227.1","Cancer enhanced","Detected in many",NA,"pancreatic cancer: 9.9","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in many",NA,"memory B-cell: 71.6;naive B-cell: 87.0","Low lineage specificity","Detected in many",NA,"","Cancer enhanced","Detected in many",NA,"pancreatic cancer: 13.5","Thyroid - T-cells","Not detected","Not detected",NA,"","Low region specificity","Detected in all",NA,"","HPA074034","Enhanced","","Approved","Plasma membrane,Mitochondria","Secreted to blood",NA,NA,NA,NA,"Cluster 21: B-cells - Adaptive immune response","Cluster 30: Epididymis - Antimicrobial activity","Cluster 19: Stomach & Colon cancer - Absorption","Cluster 62: B-cells - B-cell activation","Plasma membrane","Mitochondria","HPA074034: AB_2686654","unprognostic (4.23e-2)","unprognostic (1.01e-2)","unprognostic (2.06e-2)","prognostic favorable (3.17e-4)","unprognostic (2.89e-1)","unprognostic (2.55e-2)","unprognostic (5.59e-2)","unprognostic (1.53e-1)","unprognostic (4.71e-1)","unprognostic (1.35e-2)","unprognostic (3.77e-3)","unprognostic (7.77e-2)","unprognostic (3.97e-3)","unprognostic (1.71e-2)","unprognostic (1.30e-1)","unprognostic (2.60e-1)","unprognostic (1.62e-1)"
"ADAM33","C20orf153, dJ964F7.1, DKFZp434K0521","ENSG00000149451","ADAM metallopeptidase domain 33","Q9BZ11","20","3667965-3682246","Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins","","Hydrolase, Metalloprotease, Protease","Asthma","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 280.4","Cell type enhanced","Detected in many",NA,"Endometrial stromal cells: 34.8;Fibroblasts: 37.6;Leydig cells: 22.4;Microglial cells: 18.2;Smooth muscle cells: 20.4;Thymic epithelial cells: 14.8","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enriched","Detected in some",4,"testis cancer: 16.7","Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Liver - Hepatic stellate cells, Thyroid - Fibroblasts","Region enhanced","Detected in single",NA,"cerebral cortex: 1.0","Low region specificity","Detected in all",NA,"","HPA067152, HPA071758","Approved","","Approved","Nuclear speckles,Plasma membrane","",NA,NA,NA,NA,"","Cluster 12: Smooth muscle tissue - Mixed function","Cluster 59: Fibroblasts - Metabolism","Cluster 65: Fibroblasts - ECM organization","Plasma membrane","Nuclear speckles","HPA067152: AB_2685791, HPA071758: ","unprognostic (1.10e-1)","unprognostic (3.02e-2)","unprognostic (2.24e-2)","unprognostic (3.35e-3)","unprognostic (4.39e-3)","unprognostic (7.43e-4)","unprognostic (7.14e-3)","unprognostic (1.67e-1)","unprognostic (1.78e-3)","unprognostic (1.28e-1)","unprognostic (1.26e-1)","unprognostic (3.56e-1)","unprognostic (2.75e-11)","unprognostic (1.05e-2)","unprognostic (1.92e-1)","unprognostic (3.21e-5)","unprognostic (3.10e-3)"
"ADAMTS2","ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP","ENSG00000087116","ADAM metallopeptidase with thrombospondin type 1 motif 2","O95450","5","179110853-179345461","Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins","Collagen degradation","Hydrolase, Metalloprotease, Protease","Ehlers-Danlos syndrome","Evidence at protein level","Evidence at transcript level","Evidence at transcript level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"Endometrial stromal cells: 30.1;Fibroblasts: 37.1;Kupffer cells: 67.8;Macrophages: 23.2;Thymic epithelial cells: 22.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Prostate - Fibroblasts, Skin - Fibroblast_2","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","HPA028363, HPA028444","Uncertain","","Approved","Vesicles,Plasma membrane","Secreted to extracellular matrix",NA,NA,NA,2e+06,"","Cluster 64: Macrophages - Immune response","Cluster 20: Connective tissue cells - ECM organization","Cluster 69: Macrophages - Innate immune response","Plasma membrane","Vesicles","HPA028363: , HPA028444: AB_10601964","unprognostic (6.78e-2)","unprognostic (7.83e-2)","unprognostic (1.13e-1)","unprognostic (5.50e-2)","unprognostic (8.85e-3)","unprognostic (4.80e-2)","unprognostic (1.09e-1)","unprognostic (2.22e-2)","unprognostic (1.58e-1)","unprognostic (1.91e-2)","unprognostic (2.08e-1)","unprognostic (2.45e-1)","prognostic unfavorable (1.71e-8)","unprognostic (1.32e-3)","unprognostic (1.03e-2)","unprognostic (7.16e-3)","unprognostic (1.48e-2)"
"ADAMTSL4","DKFZP434K1772, TSRC1","ENSG00000143382","ADAMTS like 4","Q6UY14","1","150549369-150560937","Disease related genes, Human disease related genes, Predicted secreted proteins","Apoptosis","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"Cytotrophoblasts: 145.4;Endometrial stromal cells: 37.2;Extravillous trophoblasts: 45.0;Skeletal myocytes: 51.5;Syncytiotrophoblasts: 94.5","Low cancer specificity","Detected in all",NA,"","Region enhanced","Detected in many",NA,"cerebral cortex: 11.1","Immune cell enhanced","Detected in single",NA,"non-classical monocyte: 1.3","Low lineage specificity","Detected in single",NA,"","Cancer enhanced","Detected in all",NA,"Bladder cancer: 38.4","Prostate - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","HPA006279","Approved","","Approved","Plasma membrane,Cytosol","Secreted to extracellular matrix",NA,NA,NA,1.1e+08,"Cluster 14: Monocytes - Unknown function","Cluster 13: Striated muscle - Muscle contraction","Cluster 60: Keratinocytes - Epithelial cell function","Cluster 28: Cytotrophoblasts - Unknown function","Plasma membrane, Cytosol","","HPA006279: AB_1078102","unprognostic (2.00e-2)","unprognostic (1.24e-2)","prognostic unfavorable (1.86e-4)","unprognostic (8.09e-4)","prognostic unfavorable (2.43e-4)","unprognostic (1.09e-1)","unprognostic (1.65e-1)","unprognostic (7.52e-2)","unprognostic (3.56e-2)","unprognostic (1.68e-2)","unprognostic (1.28e-2)","unprognostic (1.51e-1)","prognostic unfavorable (4.35e-7)","unprognostic (1.90e-1)","unprognostic (5.23e-2)","unprognostic (1.44e-2)","unprognostic (7.40e-3)"
"ADAP1","CENTA1, GCS1L","ENSG00000105963","ArfGAP with dual PH domains 1","O75689","7","897900-955407","Predicted intracellular proteins","","GTPase activation","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"brain: 85.9;intestine: 43.2","Cell type enhanced","Detected in many",NA,"Distal enterocytes: 76.4;Intestinal goblet cells: 43.1;Oligodendrocytes: 41.2;Paneth cells: 50.2;Proximal enterocytes: 46.8","Cancer enhanced","Detected in all",NA,"colorectal cancer: 15.1","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in all",NA,"","Cancer enhanced","Detected in many",NA,"colorectal cancer: 109.6;Gastric cancer: 101.3","Adipose subcutaneous - Macrophages, Skeletal muscle - Macrophages","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA007033, HPA012049","Enhanced","","Supported","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 51: Monocytes - Innate immune response","Cluster 45: Intestine - Brush border","Cluster 19: Stomach & Colon cancer - Absorption","Cluster 50: Enterocytes - Absorption","Plasma membrane, Cytosol","","HPA007033: AB_1846529, HPA012049: AB_1846527","unprognostic (2.45e-1)","unprognostic (7.15e-2)","prognostic unfavorable (5.25e-4)","unprognostic (4.41e-2)","unprognostic (1.97e-1)","prognostic unfavorable (9.13e-4)","unprognostic (3.06e-1)","unprognostic (9.10e-3)","unprognostic (1.70e-2)","unprognostic (1.38e-1)","unprognostic (5.74e-2)","unprognostic (1.69e-1)","prognostic favorable (4.13e-5)","unprognostic (5.88e-2)","unprognostic (1.58e-1)","unprognostic (1.41e-1)","unprognostic (1.79e-2)"
"ADCK5","FLJ35454","ENSG00000173137","AarF domain containing kinase 5","Q3MIX3","8","144373101-144393242","Enzymes, Predicted membrane proteins","","Kinase, Serine/threonine-protein kinase, Transferase","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"Proximal enterocytes: 56.3","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in many",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA025692, HPA028679","Approved","","Approved","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 24: B-cells - Unknown function","Cluster 18: Non-specific - Mitochondria","Cluster 17: RS4;11 - Unknown function","Cluster 59: Proximal enterocytes - Transmembrane transport","Plasma membrane, Cytosol","","HPA025692: AB_10599486, HPA028679: AB_10600226","unprognostic (6.76e-2)","unprognostic (1.66e-1)","unprognostic (1.68e-2)","unprognostic (8.96e-2)","unprognostic (1.68e-2)","unprognostic (1.00e-1)","unprognostic (2.31e-3)","unprognostic (6.45e-2)","unprognostic (2.70e-1)","unprognostic (4.25e-2)","unprognostic (6.60e-2)","unprognostic (2.03e-2)","unprognostic (1.33e-3)","unprognostic (1.39e-2)","unprognostic (1.20e-1)","unprognostic (3.47e-1)","unprognostic (2.90e-2)"
"ADCY7","AC7, KIAA0037","ENSG00000121281","Adenylate cyclase 7","P51828","16","50246137-50318135","Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","cAMP biosynthesis","Lyase","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"Hofbauer cells: 42.5;Kupffer cells: 68.1;Langerhans cells: 56.2;Macrophages: 49.6;Microglial cells: 51.1;monocytes: 66.0;NK-cells: 60.8","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Skeletal muscle - Fibroblasts","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","HPA041218, HPA048241","Uncertain","","Approved","Plasma membrane","",NA,NA,NA,NA,"Cluster 51: Monocytes - Innate immune response","Cluster 16: Immune cells - Immune response","Cluster 62: Granulocytes - Innate immune response","Cluster 7: NK-cells - Immune response regulation","Plasma membrane","","HPA041218: AB_2677365, HPA048241: AB_2680326","unprognostic (1.98e-1)","prognostic unfavorable (5.31e-4)","unprognostic (1.24e-1)","unprognostic (1.78e-1)","unprognostic (3.77e-1)","unprognostic (2.80e-1)","unprognostic (3.90e-2)","unprognostic (7.75e-2)","unprognostic (1.21e-1)","unprognostic (2.56e-2)","unprognostic (1.65e-1)","unprognostic (1.18e-1)","unprognostic (5.59e-3)","unprognostic (7.34e-2)","unprognostic (2.15e-3)","unprognostic (2.18e-1)","unprognostic (9.52e-4)"
"ADD2","ADDB","ENSG00000075340","Adducin 2","P35612","2","70607618-70768225","Predicted intracellular proteins","","Actin-binding, Calmodulin-binding","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"bone marrow: 66.5;brain: 52.8","Cell type enhanced","Detected in some",NA,"Bipolar cells: 22.9;Erythroid cells: 64.8;Excitatory neurons: 69.1;Horizontal cells: 67.9;Inhibitory neurons: 50.6;Late spermatids: 67.4","Group enriched","Detected in many",5,"glioma: 5.2;testis cancer: 11.1","Low region specificity","Detected in many",NA,"","Immune cell enhanced","Detected in some",NA,"memory B-cell: 2.2;non-classical monocyte: 2.3","Low lineage specificity","Detected in many",NA,"","Cancer enhanced","Detected in many",NA,"Neuroblastoma: 41.5","Testis - Late spermatids","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB009796, HPA034509, HPA034510","Supported","","Approved","Nucleoplasm,Plasma membrane,Cytosol","",NA,NA,NA,18000,"Cluster 23: Antigen presenting cells - Antigen presentation","Cluster 76: Brain & Bone marrow - Chromatin organization","Cluster 32: Myeloid leukemia - Oxygen transport","Cluster 71: Erythroid cells - Oxygen transport","Nucleoplasm, Cytosol","Plasma membrane","CAB009796: AB_2223572, HPA034509: AB_2674201, HPA034510: AB_2674202","unprognostic (3.58e-2)","unprognostic (2.68e-4)","unprognostic (3.83e-2)","unprognostic (3.01e-4)","unprognostic (1.94e-1)","unprognostic (2.25e-3)","unprognostic (1.35e-1)","unprognostic (3.26e-1)","unprognostic (3.49e-1)","unprognostic (1.48e-1)","unprognostic (1.20e-2)","unprognostic (8.93e-2)","unprognostic (4.47e-7)","unprognostic (2.81e-4)","unprognostic (1.77e-1)","unprognostic (1.71e-3)","unprognostic (1.31e-3)"
"ADGRB2","BAI2","ENSG00000121753","Adhesion G protein-coupled receptor B2","O60241","1","31727117-31764893","G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","G-protein coupled receptor, Receptor, Transducer","Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",7,"brain: 61.4","Cell type enhanced","Detected in many",NA,"Astrocytes: 20.2;Excitatory neurons: 55.0;Horizontal cells: 28.2;Inhibitory neurons: 13.5;Oligodendrocyte precursor cells: 19.7","Cancer enriched","Detected in many",4,"glioma: 20.5","Region enhanced","Detected in many",NA,"hippocampal formation: 61.4","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Stomach - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA069175","","","Supported","Plasma membrane","",NA,NA,NA,32000,"","Cluster 10: Brain - Neuronal signaling","Cluster 7: Neuronal cell lines - Stereocilium","Cluster 38: Neurons - Neuronal signaling","Plasma membrane","","HPA069175: ","prognostic favorable (6.46e-4)","unprognostic (1.74e-1)","unprognostic (7.98e-2)","unprognostic (4.34e-2)","unprognostic (1.90e-1)","unprognostic (2.40e-1)","unprognostic (8.17e-4)","prognostic unfavorable (4.02e-5)","unprognostic (2.31e-2)","unprognostic (1.54e-2)","unprognostic (1.48e-2)","unprognostic (1.65e-1)","unprognostic (1.80e-3)","unprognostic (1.63e-1)","unprognostic (1.23e-1)","unprognostic (1.75e-3)","unprognostic (7.98e-2)"
"ADGRD1","DKFZp434B1272, GPR133, PGR25","ENSG00000111452","Adhesion G protein-coupled receptor D1","Q6QNK2","12","130953907-131141469","G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins","","G-protein coupled receptor, Receptor, Transducer","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"heart muscle: 62.4","Cell type enhanced","Detected in many",NA,"Alveolar cells type 2: 26.5;Cardiomyocytes: 34.3;Endometrial stromal cells: 46.7;Fibroblasts: 30.1;Late spermatids: 22.6;Microglial cells: 24.6;Sertoli cells: 33.2;Thymic epithelial cells: 76.9","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in some",6,"classical monocyte: 2.0;intermediate monocyte: 2.3;myeloid DC: 1.1;non-classical monocyte: 1.8","Group enriched","Detected in many",6,"dendritic cells: 1.1;monocytes: 2.3","Low cancer specificity","Detected in many",NA,"","Adipose visceral - Mesothelial cells","Region enhanced","Detected in some",NA,"basal ganglia: 5.1","Low region specificity","Detected in all",NA,"","HPA042395, HPA076279","Uncertain","","Approved","Nucleoplasm,Nuclear speckles,Plasma membrane","",NA,NA,NA,1400000,"Cluster 7: Monocytes - Unknown function","Cluster 46: Fibroblasts - ECM organization","Cluster 41: Non-specific - Cilium assembly","Cluster 65: Fibroblasts - ECM organization","Plasma membrane","Nucleoplasm, Nuclear speckles","HPA042395: AB_10796906, HPA076279: ","unprognostic (3.21e-1)","unprognostic (1.49e-4)","unprognostic (1.32e-2)","unprognostic (1.63e-1)","unprognostic (4.40e-3)","unprognostic (1.28e-1)","prognostic unfavorable (9.27e-4)","unprognostic (2.55e-3)","unprognostic (1.63e-2)","unprognostic (6.94e-2)","unprognostic (1.11e-2)","unprognostic (3.98e-2)","unprognostic (4.79e-5)","unprognostic (1.31e-3)","unprognostic (4.58e-1)","unprognostic (2.15e-2)","unprognostic (1.77e-3)"
